"";"code_departement";"date_observation"
"1";"75";NA
"2";"77";"2026-05-27"
"3";"78";"2026-05-27"
"4";"91";"2026-05-26"
"5";"92";NA
"6";"93";NA
"7";"94";"2026-05-27"
"8";"95";"2026-05-26"
